true_gloss,samples,correct,accuracy
apple,1,0,0.0
before,1,0,0.0
can,1,0,0.0
candy,1,0,0.0
brown,2,0,0.0
bowling,1,0,0.0
blue,1,0,0.0
black,3,0,0.0
corn,1,0,0.0
cow,2,0,0.0
cook,2,0,0.0
cool,3,0,0.0
color,1,0,0.0
clothes,2,0,0.0
change,2,0,0.0
chair,2,0,0.0
decide,2,0,0.0
dark,2,0,0.0
dance,1,0,0.0
letter,2,0,0.0
help,2,0,0.0
graduate,1,0,0.0
go,1,0,0.0
how,3,0,0.0
give,1,0,0.0
full,2,0,0.0
forget,1,0,0.0
finish,3,0,0.0
fine,1,0,0.0
family,1,0,0.0
enjoy,1,0,0.0
eat,1,0,0.0
man,2,0,0.0
paint,1,0,0.0
paper,1,0,0.0
need,2,0,0.0
language,1,0,0.0
last,2,0,0.0
jacket,1,0,0.0
wrong,1,0,0.0
walk,2,0,0.0
study,1,0,0.0
son,1,0,0.0
thin,2,0,0.0
time,1,0,0.0
thursday,2,0,0.0
tall,2,0,0.0
school,2,0,0.0
year,3,0,0.0
want,2,0,0.0
what,1,0,0.0
woman,3,1,0.3333333333333333
fish,3,1,0.3333333333333333
many,3,1,0.3333333333333333
pizza,3,1,0.3333333333333333
kiss,3,1,0.3333333333333333
no,2,1,0.5
mother,2,1,0.5
accident,2,1,0.5
bed,2,1,0.5
birthday,2,1,0.5
basketball,2,1,0.5
bird,2,1,0.5
computer,2,1,0.5
work,2,1,0.5
yes,2,1,0.5
who,2,1,0.5
tell,2,1,0.5
secretary,2,1,0.5
purple,2,1,0.5
white,2,1,0.5
pull,2,1,0.5
hat,2,1,0.5
city,2,1,0.5
now,2,1,0.5
orange,2,1,0.5
meet,2,1,0.5
like,2,1,0.5
play,2,1,0.5
hot,3,2,0.6666666666666666
deaf,3,2,0.6666666666666666
africa,2,2,1.0
hearing,1,1,1.0
all,2,2,1.0
but,1,1,1.0
drink,2,2,1.0
cousin,1,1,1.0
pink,2,2,1.0
table,1,1,1.0
same,1,1,1.0
